car_id,car_code,theme,source_layer,intersect_area_ha,car_area_ha,percent_of_property,evidence_count,source,source_date,confidence,notes
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,138.7706,8975.9675,1.546,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,25.5954,8975.9675,0.2852,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,66.4633,8975.9675,0.7405,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,60.357,8975.9675,0.6724,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,44.4755,8975.9675,0.4955,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,12.0762,8975.9675,0.1345,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,0.0003,8975.9675,0.0,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,44.0379,8975.9675,0.4906,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,6.9045,8975.9675,0.0769,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,74.5586,8975.9675,0.8306,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,79.276,8975.9675,0.8832,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,81.0407,8975.9675,0.9029,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,0.0,8975.9675,0.0,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,13.7632,8975.9675,0.1533,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,6.584,8975.9675,0.0734,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,49.4062,8975.9675,0.5504,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,14.8276,8975.9675,0.1652,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,48.1169,8975.9675,0.5361,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,32.0315,8975.9675,0.3569,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,22.79,8975.9675,0.2539,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,9.7603,8975.9675,0.1087,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,22.5647,8975.9675,0.2514,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,29.9146,8975.9675,0.3333,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,15.4808,8975.9675,0.1725,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,25.459,8975.9675,0.2836,1,embargos,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,embargos,25.6727,8975.9675,0.286,1,embargos,2026-06-15,Alta,
CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,unidades_conservacao,unidades_conservacao,151.7788,160.7464,94.4212,1,unidades_conservacao,2026-06-15,Alta,
CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,unidades_conservacao,unidades_conservacao,83.1866,160.7464,51.7502,1,unidades_conservacao,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,unidades_conservacao,unidades_conservacao,2233.5984,8975.9675,24.8842,1,unidades_conservacao,2026-06-15,Alta,
CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,desmatamento,desmatamento,10.8268,160.7464,6.7353,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,34.3874,8975.9675,0.3831,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,14.9838,8975.9675,0.1669,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,7.2472,8975.9675,0.0807,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,10.7486,8975.9675,0.1197,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,7.4235,8975.9675,0.0827,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,76.5251,8975.9675,0.8526,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,2.1692,8975.9675,0.0242,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,4.3692,8975.9675,0.0487,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,0.7882,8975.9675,0.0088,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,11.6641,8975.9675,0.1299,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,20.2282,8975.9675,0.2254,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,44.8341,8975.9675,0.4995,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,18.5746,8975.9675,0.2069,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,3.0677,8975.9675,0.0342,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,3.5788,8975.9675,0.0399,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,0.3972,8975.9675,0.0044,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,5.9393,8975.9675,0.0662,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,2.1022,8975.9675,0.0234,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,14.0058,8975.9675,0.156,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,6.3918,8975.9675,0.0712,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,0.0672,8975.9675,0.0007,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,10.6585,8975.9675,0.1187,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,40.492,8975.9675,0.4511,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,3.6971,8975.9675,0.0412,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,26.911,8975.9675,0.2998,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,6.1959,8975.9675,0.069,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,6.5205,8975.9675,0.0726,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,1.8425,8975.9675,0.0205,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,10.3586,8975.9675,0.1154,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,7.8458,8975.9675,0.0874,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,0.2071,8975.9675,0.0023,1,desmatamento,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,desmatamento,66.9837,8975.9675,0.7463,1,desmatamento,2026-06-15,Alta,
CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,app_fbds,app_fbds,17.9078,160.7464,11.1404,1,app_fbds,2026-06-15,Alta,
CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,app_fbds,app_fbds,0.7848,160.7464,0.4882,1,app_fbds,2026-06-15,Alta,
CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,app_fbds,app_fbds,0.7847,160.7464,0.4881,1,app_fbds,2026-06-15,Alta,
CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,app_fbds,app_fbds,5.3745,101.3208,5.3045,1,app_fbds,2026-06-15,Alta,
CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,app_fbds,app_fbds,4.4929,101.3208,4.4343,1,app_fbds,2026-06-15,Alta,
CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,app_fbds,app_fbds,0.9749,101.3208,0.9622,1,app_fbds,2026-06-15,Alta,
CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,app_fbds,app_fbds,0.991,101.3208,0.9781,1,app_fbds,2026-06-15,Alta,
CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,app_fbds,app_fbds,0.7647,101.3208,0.7548,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,106.066,8975.9675,1.1817,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,20.268,8975.9675,0.2258,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,291.9084,8975.9675,3.2521,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,12.8531,8975.9675,0.1432,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,39.3444,8975.9675,0.4383,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,80.8506,8975.9675,0.9007,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.0014,8975.9675,0.0,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,1.6997,8975.9675,0.0189,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.3284,8975.9675,0.0037,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.0005,8975.9675,0.0,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.645,8975.9675,0.0072,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7777,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7413,8975.9675,0.0083,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7923,8975.9675,0.0088,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7838,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7849,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7826,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7866,8975.9675,0.0088,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7836,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7783,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7826,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7836,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7907,8975.9675,0.0088,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7909,8975.9675,0.0088,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7844,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7834,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7737,8975.9675,0.0086,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7822,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7846,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.8509,8975.9675,0.0095,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.0468,8975.9675,0.0005,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7813,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.991,8975.9675,0.011,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7798,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7832,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7915,8975.9675,0.0088,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7835,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7814,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.7816,8975.9675,0.0087,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.8693,8975.9675,0.0097,1,app_fbds,2026-06-15,Alta,
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,app_fbds,app_fbds,0.6794,8975.9675,0.0076,1,app_fbds,2026-06-15,Alta,
